시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,위도,경도
광진구,11215000196,영화어린이집,민간,정상,4948,서울특별시 광진구 영화사로 105 (구의동),37.55405327,127.0977209
광진구,11215000174,사임당어린이집,민간,정상,5055,서울특별시 광진구 아차산로46가길 23 (자양동) 101호,37.53567044,127.0819116
광진구,11215000035,구립 중곡샛별어린이집,국공립,정상,4901,서울특별시 광진구 동일로 458 (중곡동),37.570957,127.08026
광진구,11215000085,구립 화송어린이집,국공립,정상,5012,서울특별시 광진구 능동로13길 108 (화양동),37.54619184,127.0680542
광진구,11215000111,구립 사랑의어린이집,국공립,정상,4974,서울특별시 광진구 아차산로66길 8 (광장동),37.54103267,127.097066
광진구,11215000028,예지어린이집,민간,휴지,5003,서울특별시 광진구 광나루로15길 17 (군자동),37.54909585,127.0694465
광진구,11215000012,구립 자양4동어린이집,국공립,정상,5073,서울특별시 광진구 아차산로32길 17 (자양동),37.53913,127.06851
광진구,11215000032,광진어린이집,민간,정상,5054,서울특별시 광진구 아차산로40길 9 (자양동),37.537193,127.07864
광진구,11215000030,신나는어린이집,민간,정상,5041,서울특별시 광진구 광나루로40길 78 (구의동),37.54134189,127.0886887
광진구,11215000170,리틀지니어스어린이집,민간,정상,5040,서울특별시 광진구 자양로26길 50 (구의동),37.54099739,127.0866516
광진구,11215000130,현대몬테소리어린이집,가정,정상,5118,서울특별시 광진구 광나루로56길 32 207동 106호(구의동,37.5386271,127.0958742
광진구,11215000117,중곡4동어린이집,민간,정상,4944,서울특별시 광진구 긴고랑로 149-8 (중곡동),37.55910367,127.0915569
광진구,11215000185,좋은어린이집,민간,정상,5049,서울특별시 광진구 구의강변로3길 31 (구의동),37.53620501,127.090321
광진구,11215000031,구립 자양어린이집,국공립,정상,5092,서울특별시 광진구 자양번영로 35 (자양동),37.532898,127.07523
광진구,11215000016,해든어린이집,민간,정상,5084,서울특별시 광진구 능동로3마길 1 (자양동,37.5343286,127.0642358
