field1,field2,field3,field4,_GC_TYPE,_CLEANADDR,_X,_Y
1,서울 광진구 뚝섬로 649,,,정,서울특별시 광진구 뚝섬로 649 (자양동),127.08655279656900,37.56322156361030
2,서울 광진구 뚝섬로 678,,,정,서울특별시 광진구 뚝섬로 678 (자양동),127.08655175423100,37.56232056811620
3,서울 광진구 아차산로 563,,,정,서울특별시 광진구 아차산로 563 (광장동),127.08768464643200,37.563220728425300
4,서울 광진구 아차산로 537-17 (광장동),,,정,서울특별시 광진구 아차산로 537-17 (광장동),127.08768359046300,37.56231973295810
5,서울 광진구 광나루로 608 (구의동),,,정,서울특별시 광진구 광나루로 608 (구의동),127.08768253454100,37.56141873735320
7,서울 광진구 아차산로 244,,,정,서울특별시 광진구 아차산로 244 (자양동),127.08768147866500,37.560517741610300
8,서울 광진구 아차산로 304,,,정,서울특별시 광진구 아차산로 304 (자양동),127.09560644273900,37.56231358304130
6,서울 광진구 능동로 18 이튼상가3차C동102호,,,정,"서울특별시 광진구 능동로 18, C동 (자양동)",127.09560529140600,37.56141258763520
11,서울 광진구 아차산로 376,,,정,서울특별시 광진구 아차산로 376 (자양동),127.09560414012500,37.560511592091100
12,서울 광진구 구의로 25,,,정,서울특별시 광진구 구의로 25 (구의동),127.0967382785780,37.562312661080200
10,서울 광진구 뚝섬로 613 오양빌딩 6층,,,정,서울특별시 광진구 뚝섬로 613 (자양동),127.08655696638900,37.566825544208100
13,서울 광진구 강변역로4길 10 546-11,,,유,서울특별시 광진구 강변역로4길 10 (구의동),127.08655592386400,37.56592454926550
9,서울 광진구 자양번영로 27,,,정,서울특별시 광진구 자양번영로 27 (자양동),127.08655488138600,37.56502355418490
14,서울 광진구 광나루로 509,,,정,서울특별시 광진구 광나루로 509 (구의동),127.08655383895500,37.56412255896660
15,서울 광진구 천호대로 690 3층이상,,,정,서울특별시 광진구 천호대로 690 (구의동),127.08768781462300,37.56592371399940
18,서울 광진구 용마산로 68 (중곡동),,,정,서울특별시 광진구 용마산로 68 (중곡동),127.08768675851200,37.56502271894590
16,서울 광진구 천호대로 636 1층,,,정,서울특별시 광진구 천호대로 636 (능동),127.08768570244900,37.56412172375450
22,"서울 광진구 아차산로 607 1,2층 (광장동)",,,유,서울특별시 광진구 아차산로 607 (광장동),127.08655800896000,37.56772653901280
21,서울 광진구 용마산로 150,,,정,서울특별시 광진구 용마산로 150 (중곡동),127.08655905157700,37.56862753367970
17,서울 광진구 자양로 288,,,정,서울특별시 광진구 자양로 288 (구의동),127.08993535043200,37.55240707145880
23,서울 광진구 아차산로 563,,,정,서울특별시 광진구 아차산로 563 (광장동),127.08880366419100,37.55240792801290
20,서울 광진구 용마산로 104 1층,,,정,서울특별시 광진구 용마산로 104 (중곡동),127.09106703662500,37.55240620405830
19,서울 광진구 긴고랑로 162-1,,,정,서울특별시 광진구 긴고랑로 162-1 (중곡동),127.08993643313300,37.553308068387400
1,,,,,,127.08880473326800,37.55330892496920
2,,,,,,127.08880580239100,37.554209921787600
3,,,,,,127.08880687156300,37.555110918468200
4,,,,,,127.09107142221400,37.55601019083330
5,,,,,,127.08994076441500,37.55691205472330
7,,,,,,127.09107251873400,37.556911187182400
8,,,,,,127.08767725563400,37.556913757260100
6,,,,,,127.08881007936300,37.557813907682800
11,,,,,,127.08994184735600,37.55781305096260
12,,,,,,127.08767831132100,37.55781475355450
10,,,,,,127.08881114872500,37.55871490381200
13,,,,,,127.08994293034600,37.55871404706400
9,,,,,,127.091074711919,37.55871317946700
14,,,,,,127.0876793670560,37.55871574971090
15,,,,,,127.08994401338400,37.55961504302750
18,,,,,,127.0876804228370,37.55961674572960
16,,,,,,127.09220649344300,37.55871230102110
22,,,,,,127.09220316285800,37.556009312472600
21,,,,,,127.09220205276200,37.55510831601410
17,,,,,,127.09333939884000,37.55961240760450
23,,,,,,127.09333827491800,37.558711411726200
20,,,,,,127.09333490345200,37.55600842326400
19,,,,,,127.09333377973000,37.555107426834200
1,,,,,,127.09333265605800,37.55420643026650
2,,,,,,127.09447233149400,37.56051250314290
3,,,,,,127.09447119389300,37.55961150743160
4,,,,,,127.09447005634300,37.558710511582400
5,,,,,,127.09446550664800,37.555106526806800
7,,,,,,127.08766670134600,37.54790378673410
8,,,,,,127.08879938836300,37.54880393880900
6,,,,,,127.08879831952400,37.547902941163400
11,,,,,,127.0887972507340,37.5470019433799
12,,,,,,127.0899310201140,37.54880308236570
10,,,,,,127.089929937655,37.54790208474780
13,,,,,,127.08880045724800,37.549704936316700
9,,,,,,127.08993210262100,37.54970407984580
14,,,,,,127.08880152618200,37.55060593368660
15,,,,,,127.08993318517700,37.550605077188000
18,,,,,,127.08880259516300,37.551506930918700
16,,,,,,127.08993426778100,37.55150607439240
22,,,,,,127.08993535043200,37.55240707145880
21,,,,,,127.09106703662500,37.55240620405830
17,,,,,,127.09106594035000,37.55150520701980
23,,,,,,127.09106484412400,37.550604209843500
20,,,,,,127.09106374794600,37.54970321252940
19,,,,,,127.0921987227690,37.55240532581120
1,,,,,,127.09219761287100,37.55150432880120
2,,,,,,127.09219650302200,37.55060333165330
3,,,,,,127.09219539322200,37.5497023343675
4,,,,,,127.09219428347200,37.548801336943900
5,,,,,,127.09333040886400,37.55240443671760
7,,,,,,127.09332928534200,37.55150343973630
8,,,,,,127.09332703844900,37.54970144536020
6,,,,,,127.09332591507700,37.548800447965300
11,,,,,,127.09219983271700,37.55330632268340
12,,,,,,127.09333377973000,37.555107426834200
10,,,,,,127.09333265605800,37.55420643026650
13,,,,,,127.09333153243600,37.553305433561000
