"동별(1)","동별(2)",항목,2024 4/4,2024 4/4
"동대문구","장안1동",등록외국인,19,21
"동대문구","장안2동",계,1002,1436
"동대문구","장안2동",한국인,995,1426
"동대문구","장안2동",등록외국인,7,10
"동대문구","이문1동",계,239,320
"동대문구","이문1동",한국인,204,309
"동대문구","이문1동",등록외국인,35,11
"동대문구","이문2동",계,406,583
"동대문구","이문2동",한국인,396,565
"동대문구","이문2동",등록외국인,10,18
"동대문구","답십리1동",계,959,1224
"동대문구","답십리1동",한국인,950,1208
"동대문구","답십리1동",등록외국인,9,16
"중랑구","면목2동",계,360,510
"중랑구","면목2동",한국인,342,499
"중랑구","면목2동",등록외국인,18,11
"중랑구","면목4동",계,352,449
"중랑구","면목4동",한국인,339,441
"중랑구","면목4동",등록외국인,13,8
"중랑구","면목5동",계,514,639
"중랑구","면목5동",한국인,506,631
"중랑구","면목5동",등록외국인,8,8
"중랑구","면목7동",계,492,499
"중랑구","면목7동",한국인,477,491
"중랑구","면목7동",등록외국인,15,8
"중랑구","상봉1동",계,604,767
"중랑구","상봉1동",한국인,599,763
"중랑구","상봉1동",등록외국인,5,4
"중랑구","상봉2동",계,416,269
"중랑구","상봉2동",한국인,401,253
"중랑구","상봉2동",등록외국인,15,16
"중랑구","중화1동",계,396,440
"중랑구","중화1동",한국인,383,432
"중랑구","중화1동",등록외국인,13,8
"중랑구","중화2동",계,375,418
"중랑구","중화2동",한국인,357,410
"중랑구","중화2동",등록외국인,18,8
"중랑구","묵1동",계,584,1009
"중랑구","묵1동",한국인,579,1006
"중랑구","묵1동",등록외국인,5,3
"중랑구","묵2동",계,331,418
"중랑구","묵2동",한국인,320,411
"중랑구","묵2동",등록외국인,11,7
"중랑구","망우3동",계,246,313
"중랑구","망우3동",한국인,213,282
"중랑구","망우3동",등록외국인,33,31
"중랑구","신내1동",계,885,1168
"중랑구","신내1동",한국인,880,1164
"중랑구","신내1동",등록외국인,5,4
"중랑구","신내2동",계,400,536
"중랑구","신내2동",한국인,398,536
"중랑구","신내2동",등록외국인,2,-
"중랑구","면목본동",계,533,638
"중랑구","면목본동",한국인,502,611
"중랑구","면목본동",등록외국인,31,27
"중랑구","면목3.8동",계,412,471
"중랑구","면목3.8동",한국인,393,459
"중랑구","면목3.8동",등록외국인,19,12
"중랑구","망우본동",계,1292,1462
"중랑구","망우본동",한국인,1276,1439
"중랑구","망우본동",등록외국인,16,23
"성북구","돈암1동",계,313,321
"성북구","돈암1동",한국인,312,319
"성북구","돈암1동",등록외국인,1,2
"성북구","돈암2동",계,583,963
"성북구","돈암2동",한국인,581,961
"성북구","돈암2동",등록외국인,2,2
"성북구","안암동",계,163,229
"성북구","안암동",한국인,148,220
"성북구","안암동",등록외국인,15,9
"성북구","보문동",계,407,498
"성북구","보문동",한국인,395,489
"성북구","보문동",등록외국인,12,9
"성북구","정릉1동",계,476,666
"성북구","정릉1동",한국인,475,663
"성북구","정릉1동",등록외국인,1,3
"성북구","정릉2동",계,507,626
"성북구","정릉2동",한국인,502,624
"성북구","정릉2동",등록외국인,5,2
"성북구","정릉3동",계,180,207
"성북구","정릉3동",한국인,177,205
"성북구","정릉3동",등록외국인,3,2
"성북구","정릉4동",계,510,593
"성북구","정릉4동",한국인,507,592
"성북구","정릉4동",등록외국인,3,1
"성북구","길음1동",계,990,1826
"성북구","길음1동",한국인,988,1824
"성북구","길음1동",등록외국인,2,2
"성북구","길음2동",계,742,1202
"성북구","길음2동",한국인,739,1200
"성북구","길음2동",등록외국인,3,2
"성북구","월곡1동",계,639,898
"성북구","월곡1동",한국인,638,893
"성북구","월곡1동",등록외국인,1,5
"성북구","월곡2동",계,350,399
"성북구","월곡2동",한국인,325,388
"성북구","월곡2동",등록외국인,25,11
"성북구","장위1동",계,498,844
"성북구","장위1동",한국인,495,835
"성북구","장위1동",등록외국인,3,9
"성북구","장위2동",계,210,238
"성북구","장위2동",한국인,200,230
"성북구","장위2동",등록외국인,10,8
"성북구","장위3동",계,559,844
"성북구","장위3동",한국인,559,841
"성북구","장위3동",등록외국인,-,3
"성북구","성북동",계,305,314
"성북구","성북동",한국인,294,299
"성북구","성북동",등록외국인,11,15
"성북구","삼선동",계,297,439
"성북구","삼선동",한국인,291,435
"성북구","삼선동",등록외국인,6,4
"성북구","동선동",계,148,231
"성북구","동선동",한국인,147,229
"성북구","동선동",등록외국인,1,2
"성북구","종암동",계,788,1181
"성북구","종암동",한국인,761,1164
"성북구","종암동",등록외국인,27,17
"성북구","석관동",계,733,864
"성북구","석관동",한국인,712,838
"성북구","석관동",등록외국인,21,26
"강북구","번1동",계,175,262
"강북구","번1동",한국인,168,250
"강북구","번1동",등록외국인,7,12
"강북구","번2동",계,164,269
"강북구","번2동",한국인,158,268
"강북구","번2동",등록외국인,6,1
"강북구","번3동",계,259,349
"강북구","번3동",한국인,259,349
"강북구","번3동",등록외국인,-,-
"강북구","수유1동",계,248,407
"강북구","수유1동",한국인,245,403
"강북구","수유1동",등록외국인,3,4
"강북구","수유2동",계,305,464
"강북구","수유2동",한국인,298,458
"강북구","수유2동",등록외국인,7,6
"강북구","수유3동",계,189,324
"강북구","수유3동",한국인,180,322
"강북구","수유3동",등록외국인,9,2
"강북구","삼양동",계,454,623
"강북구","삼양동",한국인,446,617
"강북구","삼양동",등록외국인,8,6
"강북구","미아동",계,214,321
"강북구","미아동",한국인,197,301
"강북구","미아동",등록외국인,17,20
"강북구","송중동",계,534,645
"강북구","송중동",한국인,521,632
"강북구","송중동",등록외국인,13,13
"강북구","송천동",계,274,388
"강북구","송천동",한국인,257,380
"강북구","송천동",등록외국인,17,8
"강북구","삼각산동",계,786,1277
"강북구","삼각산동",한국인,784,1273
"강북구","삼각산동",등록외국인,2,4
"강북구","우이동",계,308,445
"강북구","우이동",한국인,306,445
"강북구","우이동",등록외국인,2,-
"강북구","인수동",계,376,669
"강북구","인수동",한국인,370,667
"강북구","인수동",등록외국인,6,2
"도봉구","쌍문1동",계,326,510
"도봉구","쌍문1동",한국인,321,503
"도봉구","쌍문1동",등록외국인,5,7
"도봉구","쌍문2동",계,305,418
"도봉구","쌍문2동",한국인,300,414
"도봉구","쌍문2동",등록외국인,5,4
"도봉구","쌍문3동",계,282,323
"도봉구","쌍문3동",한국인,282,321
"도봉구","쌍문3동",등록외국인,-,2
"도봉구","쌍문4동",계,323,549
"도봉구","쌍문4동",한국인,323,546
"도봉구","쌍문4동",등록외국인,-,3
"도봉구","방학1동",계,389,669
"도봉구","방학1동",한국인,386,667
"도봉구","방학1동",등록외국인,3,2
"도봉구","방학2동",계,233,350
"도봉구","방학2동",한국인,229,344
"도봉구","방학2동",등록외국인,4,6
"도봉구","방학3동",계,455,905
"도봉구","방학3동",한국인,454,900
"도봉구","방학3동",등록외국인,1,5
"도봉구","창1동",계,408,631
"도봉구","창1동",한국인,402,624
"도봉구","창1동",등록외국인,6,7
"도봉구","창2동",계,504,737
"도봉구","창2동",한국인,496,729
"도봉구","창2동",등록외국인,8,8
"도봉구","창3동",계,144,309
"도봉구","창3동",한국인,142,306
"도봉구","창3동",등록외국인,2,3
"도봉구","창4동",계,564,770
"도봉구","창4동",한국인,563,768
"도봉구","창4동",등록외국인,1,2
"도봉구","창5동",계,471,601
"도봉구","창5동",한국인,468,601
"도봉구","창5동",등록외국인,3,-
"도봉구","도봉1동",계,208,325
"도봉구","도봉1동",한국인,204,320
"도봉구","도봉1동",등록외국인,4,5
"도봉구","도봉2동",계,625,738
"도봉구","도봉2동",한국인,621,733
"도봉구","도봉2동",등록외국인,4,5
"노원구","월계1동",계,389,434
"노원구","월계1동",한국인,383,428
"노원구","월계1동",등록외국인,6,6
"노원구","월계2동",계,553,716
"노원구","월계2동",한국인,551,712
"노원구","월계2동",등록외국인,2,4
"노원구","월계3동",계,773,832
"노원구","월계3동",한국인,771,828
"노원구","월계3동",등록외국인,2,4
"노원구","공릉2동",계,1146,1598
"노원구","공릉2동",한국인,1143,1595
"노원구","공릉2동",등록외국인,3,3
"노원구","하계1동",계,328,496
"노원구","하계1동",한국인,322,489
"노원구","하계1동",등록외국인,6,7
"노원구","하계2동",계,394,743
"노원구","하계2동",한국인,394,741
"노원구","하계2동",등록외국인,-,2
"노원구","중계본동",계,260,823
"노원구","중계본동",한국인,260,823
"노원구","중계본동",등록외국인,-,-
"노원구","중계1동",계,318,1321
"노원구","중계1동",한국인,318,1320
"노원구","중계1동",등록외국인,-,1
"노원구","중계4동",계,266,554
"노원구","중계4동",한국인,266,551
"노원구","중계4동",등록외국인,-,3
"노원구","상계1동",계,635,1018
"노원구","상계1동",한국인,634,1015
"노원구","상계1동",등록외국인,1,3
"노원구","상계2동",계,273,353
"노원구","상계2동",한국인,270,349
"노원구","상계2동",등록외국인,3,4
"노원구","상계5동",계,316,434
"노원구","상계5동",한국인,311,430
"노원구","상계5동",등록외국인,5,4
"노원구","상계8동",계,1051,750
"노원구","상계8동",한국인,1051,750
"노원구","상계8동",등록외국인,-,-
"노원구","상계9동",계,409,524
"노원구","상계9동",한국인,407,521
"노원구","상계9동",등록외국인,2,3
"노원구","상계10동",계,531,582
"노원구","상계10동",한국인,530,580
"노원구","상계10동",등록외국인,1,2
"노원구","상계3.4동",계,503,846
"노원구","상계3.4동",한국인,502,842
"노원구","상계3.4동",등록외국인,1,4
"노원구","상계6.7동",계,805,924
"노원구","상계6.7동",한국인,801,919
"노원구","상계6.7동",등록외국인,4,5
"노원구","중계2.3동",계,599,791
"노원구","중계2.3동",한국인,598,789
"노원구","중계2.3동",등록외국인,1,2
"노원구","공릉1동",계,540,776
"노원구","공릉1동",한국인,530,768
"노원구","공릉1동",등록외국인,10,8
"은평구","녹번동",계,889,1011
"은평구","녹번동",한국인,881,1001
"은평구","녹번동",등록외국인,8,10
"은평구","불광1동",계,775,891
"은평구","불광1동",한국인,772,890
"은평구","불광1동",등록외국인,3,1
"은평구","갈현1동",계,152,261
"은평구","갈현1동",한국인,149,259
"은평구","갈현1동",등록외국인,3,2
"은평구","갈현2동",계,314,621
"은평구","갈현2동",한국인,312,615
"은평구","갈현2동",등록외국인,2,6
"은평구","구산동",계,418,723
"은평구","구산동",한국인,413,718
"은평구","구산동",등록외국인,5,5
"은평구","대조동",계,396,442
"은평구","대조동",한국인,388,435
"은평구","대조동",등록외국인,8,7
"은평구","응암1동",계,855,1131
"은평구","응암1동",한국인,847,1125
"은평구","응암1동",등록외국인,8,6
"은평구","응암2동",계,1082,1473
"은평구","응암2동",한국인,1077,1465
"은평구","응암2동",등록외국인,5,8
"은평구","신사1동",계,431,640
"은평구","신사1동",한국인,429,636
"은평구","신사1동",등록외국인,2,4
"은평구","신사2동",계,324,458
"은평구","신사2동",한국인,320,455
"은평구","신사2동",등록외국인,4,3
"은평구","증산동",계,428,507
"은평구","증산동",한국인,426,502
"은평구","증산동",등록외국인,2,5
"은평구","수색동",계,945,906
"은평구","수색동",한국인,923,883
"은평구","수색동",등록외국인,22,23
"은평구","진관동",계,1082,1989
"은평구","진관동",한국인,1081,1986
"은평구","진관동",등록외국인,1,3
"은평구","불광2동",계,304,427
"은평구","불광2동",한국인,301,423
"은평구","불광2동",등록외국인,3,4
"은평구","응암3동",계,281,385
"은평구","응암3동",한국인,278,370
"은평구","응암3동",등록외국인,3,15
"은평구","역촌동",계,699,1014
"은평구","역촌동",한국인,692,1004
"은평구","역촌동",등록외국인,7,10
"서대문구","천연동",계,483,519
"서대문구","천연동",한국인,481,516
"서대문구","천연동",등록외국인,2,3
"서대문구","홍제1동",계,640,730
"서대문구","홍제1동",한국인,636,723
"서대문구","홍제1동",등록외국인,4,7
"서대문구","홍제3동",계,423,527
"서대문구","홍제3동",한국인,423,525
"서대문구","홍제3동",등록외국인,-,2
"서대문구","홍제2동",계,301,290
"서대문구","홍제2동",한국인,300,290
"서대문구","홍제2동",등록외국인,1,-
"서대문구","홍은1동",계,545,657
"서대문구","홍은1동",한국인,543,656
"서대문구","홍은1동",등록외국인,2,1
"서대문구","홍은2동",계,590,820
"서대문구","홍은2동",한국인,581,806
"서대문구","홍은2동",등록외국인,9,14
"서대문구","남가좌1동",계,659,1181
"서대문구","남가좌1동",한국인,656,1172
"서대문구","남가좌1동",등록외국인,3,9
"서대문구","남가좌2동",계,866,1316
"서대문구","남가좌2동",한국인,859,1313
"서대문구","남가좌2동",등록외국인,7,3
"서대문구","북가좌1동",계,446,624
"서대문구","북가좌1동",한국인,443,620
"서대문구","북가좌1동",등록외국인,3,4
"서대문구","북가좌2동",계,469,612
"서대문구","북가좌2동",한국인,467,606
"서대문구","북가좌2동",등록외국인,2,6
"서대문구","충현동",계,412,554
"서대문구","충현동",한국인,407,552
"서대문구","충현동",등록외국인,5,2
"서대문구","북아현동",계,581,673
"서대문구","북아현동",한국인,576,670
"서대문구","북아현동",등록외국인,5,3
"서대문구","신촌동",계,252,193
"서대문구","신촌동",한국인,241,182
"서대문구","신촌동",등록외국인,11,11
"서대문구","연희동",계,489,771
"서대문구","연희동",한국인,457,706
"서대문구","연희동",등록외국인,32,65
"마포구","용강동",계,653,1159
"마포구","용강동",한국인,638,1150
"마포구","용강동",등록외국인,15,9
"마포구","대흥동",계,235,291
"마포구","대흥동",한국인,229,283
"마포구","대흥동",등록외국인,6,8
"마포구","염리동",계,475,798
"마포구","염리동",한국인,466,785
"마포구","염리동",등록외국인,9,13
"마포구","신수동",계,616,790
"마포구","신수동",한국인,612,784
"마포구","신수동",등록외국인,4,6
"마포구","서교동",계,271,361
"마포구","서교동",한국인,261,349
"마포구","서교동",등록외국인,10,12
"마포구","합정동",계,267,299
"마포구","합정동",한국인,266,290
"마포구","합정동",등록외국인,1,9
"마포구","망원1동",계,294,406
"마포구","망원1동",한국인,290,400
"마포구","망원1동",등록외국인,4,6
"마포구","망원2동",계,298,441
"마포구","망원2동",한국인,296,440
"마포구","망원2동",등록외국인,2,1
"마포구","연남동",계,205,251
"마포구","연남동",한국인,201,242
"마포구","연남동",등록외국인,4,9
"마포구","성산1동",계,269,377
"마포구","성산1동",한국인,262,373
"마포구","성산1동",등록외국인,7,4
"마포구","성산2동",계,748,952
"마포구","성산2동",한국인,741,944
"마포구","성산2동",등록외국인,7,8
"마포구","상암동",계,680,1198
"마포구","상암동",한국인,644,1110
"마포구","상암동",등록외국인,36,88
"마포구","도화동",계,567,642
"마포구","도화동",한국인,566,640
"마포구","도화동",등록외국인,1,2
"마포구","서강동",계,617,884
"마포구","서강동",한국인,616,877
"마포구","서강동",등록외국인,1,7
"마포구","공덕동",계,832,949
"마포구","공덕동",한국인,813,932
"마포구","공덕동",등록외국인,19,17
"마포구","아현동",계,1364,1564
"마포구","아현동",한국인,1354,1545
"마포구","아현동",등록외국인,10,19
"양천구","목1동",계,569,1792
"양천구","목1동",한국인,569,1787
"양천구","목1동",등록외국인,-,5
"양천구","목2동",계,527,706
"양천구","목2동",한국인,524,702
"양천구","목2동",등록외국인,3,4
"양천구","목3동",계,480,528
"양천구","목3동",한국인,479,522
"양천구","목3동",등록외국인,1,6
"양천구","목4동",계,299,637
"양천구","목4동",한국인,296,635
"양천구","목4동",등록외국인,3,2
"양천구","신월1동",계,242,354
"양천구","신월1동",한국인,241,346
"양천구","신월1동",등록외국인,1,8
"양천구","신월2동",계,502,668
"양천구","신월2동",한국인,499,666
"양천구","신월2동",등록외국인,3,2
"양천구","신월3동",계,286,312
"양천구","신월3동",한국인,280,307
"양천구","신월3동",등록외국인,6,5
"양천구","신월4동",계,388,576
"양천구","신월4동",한국인,384,575
"양천구","신월4동",등록외국인,4,1
"양천구","신월5동",계,248,397
"양천구","신월5동",한국인,246,390
"양천구","신월5동",등록외국인,2,7
"양천구","신월6동",계,608,716
"양천구","신월6동",한국인,605,714
"양천구","신월6동",등록외국인,3,2
"양천구","신월7동",계,356,351
"양천구","신월7동",한국인,350,347
"양천구","신월7동",등록외국인,6,4
"양천구","신정1동",계,370,1058
"양천구","신정1동",한국인,370,1056
"양천구","신정1동",등록외국인,-,2
"양천구","신정2동",계,267,719
"양천구","신정2동",한국인,266,719
"양천구","신정2동",등록외국인,1,-
"양천구","신정3동",계,1184,1641
"양천구","신정3동",한국인,1179,1631
"양천구","신정3동",등록외국인,5,10
"양천구","신정6동",계,473,1246
"양천구","신정6동",한국인,473,1245
"양천구","신정6동",등록외국인,-,1
"양천구","신정7동",계,561,1013
"양천구","신정7동",한국인,560,1010
"양천구","신정7동",등록외국인,1,3
"양천구","목5동",계,720,2194
"양천구","목5동",한국인,719,2189
"양천구","목5동",등록외국인,1,5
"양천구","신정4동",계,436,612
"양천구","신정4동",한국인,423,599
"양천구","신정4동",등록외국인,13,13
"강서구","염창동",계,1454,1826
"강서구","염창동",한국인,1450,1824
"강서구","염창동",등록외국인,4,2
"강서구","등촌1동",계,663,560
"강서구","등촌1동",한국인,661,554
"강서구","등촌1동",등록외국인,2,6
"강서구","등촌2동",계,396,484
"강서구","등촌2동",한국인,395,482
"강서구","등촌2동",등록외국인,1,2
"강서구","등촌3동",계,660,726
"강서구","등촌3동",한국인,653,715
"강서구","등촌3동",등록외국인,7,11
"강서구","화곡본동",계,475,774
"강서구","화곡본동",한국인,468,763
"강서구","화곡본동",등록외국인,7,11
"강서구","화곡2동",계,283,478
"강서구","화곡2동",한국인,274,465
"강서구","화곡2동",등록외국인,9,13
"강서구","화곡3동",계,347,545
"강서구","화곡3동",한국인,344,542
"강서구","화곡3동",등록외국인,3,3
"강서구","화곡4동",계,308,417
"강서구","화곡4동",한국인,300,406
"강서구","화곡4동",등록외국인,8,11
"강서구","화곡6동",계,698,679
"강서구","화곡6동",한국인,694,667
"강서구","화곡6동",등록외국인,4,12
"강서구","화곡8동",계,332,476
"강서구","화곡8동",한국인,315,464
"강서구","화곡8동",등록외국인,17,12
"강서구","가양1동",계,668,605
"강서구","가양1동",한국인,667,603
"강서구","가양1동",등록외국인,1,2
